Entity,Code,Year,Share of the richest decile in total income or expenditure
Cyprus,CYP,2013,30.87124615
China,CHN,2005,30.8615603
Iran,IRN,2016,30.85290813
China - rural,,2002,30.8499156
Bolivia,BOL,2019,30.84800091
Morocco,MAR,1998,30.84567019
Thailand,THA,2007,30.83602255
Turkey,TUR,2004,30.83167332
Tuvalu,TUV,2010,30.77859032
United States,USA,2005,30.77717729
Armenia,ARM,2005,30.77605822
Djibouti,DJI,2002,30.77415015
United States,USA,2019,30.77204637
China - rural,,2011,30.76360449
Paraguay,PRY,1990,30.7522307
United States,USA,2018,30.74962695
Bhutan,BTN,2012,30.73817953
North Macedonia,MKD,2009,30.73584483
Indonesia - urban,,2017,30.7173979
Thailand,THA,2010,30.71686385
Chad,TCD,2003,30.71005215
Tunisia,TUN,1990,30.69411137
Morocco,MAR,1990,30.67414775
El Salvador,SLV,2016,30.65293401
United States,USA,2014,30.65241345
India,IND,2019,30.62390803
United States,USA,2001,30.62178407
Russia,RUS,2010,30.61286462
Thailand,THA,2009,30.60277794
Bolivia,BOL,2018,30.58844643
Turkey,TUR,2013,30.57926683
Portugal,PRT,2005,30.57785616
Iran,IRN,2015,30.56015368
Uruguay - urban,,1995,30.52373822
Senegal,SEN,2018,30.51485472
Turkey,TUR,2012,30.50446949
Turkey,TUR,2011,30.49967659
India,IND,2017,30.49848688
United States,USA,2015,30.49541757
Indonesia - urban,,2018,30.49437247
Russia,RUS,2004,30.49040179
Israel,ISR,2009,30.47862116
Dominican Republic,DOM,2020,30.45242149
Israel,ISR,2005,30.43386047
Thailand,THA,2012,30.42985632
United States,USA,2016,30.4203687
Argentina - urban,,2016,30.41932492
Ukraine,UKR,1995,30.39890082
United States,USA,2007,30.39644565
United States,USA,1997,30.36322709
United States,USA,2009,30.36142039
Uruguay - urban,,1996,30.35951731
Georgia,GEO,2000,30.32733987
Russia,RUS,2003,30.31960819
United States,USA,2008,30.30481088
Argentina - urban,,2020,30.30282523
China,CHN,2013,30.28172051
Indonesia - urban,,1996,30.27965944
United States,USA,2017,30.25882597
United States,USA,2000,30.25037476
Portugal,PRT,2003,30.24864605
Mali,MLI,2006,30.23729348
United States,USA,2012,30.23564262
India - urban,,2004,30.21321409
United States,USA,2003,30.21201894
United States,USA,2011,30.17942307
Indonesia,IDN,2017,30.17767762
Argentina - urban,,1980,30.17537072
Russia,RUS,2019,30.16583262
Indonesia - urban,,2020,30.15902148
United Kingdom,GBR,2001,30.15570898
Madagascar,MDG,1997,30.14583255
India,IND,2011,30.14265136
Ghana,GHA,1991,30.1338245
Moldova,MDA,1998,30.12371907
Indonesia,IDN,2021,30.11689354
United States,USA,2004,30.09114296
United States,USA,2002,30.084108
Cote d'Ivoire,CIV,1998,30.08094026
Guinea,GIN,2007,30.06912948
Indonesia - urban,,2019,30.06701604
Mali,MLI,2001,30.05706511
Uruguay,URY,2013,30.05139237
Senegal,SEN,2005,30.04721686
Georgia,GEO,2001,30.04167915
United States,USA,1996,30.02835735
Latvia,LVA,2005,30.02617626
United States,USA,2013,30.01309234
Israel,ISR,2008,29.9678258
India,IND,2009,29.9623163
Syria,SYR,2003,29.94679251
Maldives,MDV,2009,29.94292368
Georgia,GEO,1997,29.92168901
Argentina - urban,,2014,29.92117818
Indonesia,IDN,2018,29.9111815
Georgia,GEO,1999,29.90898676
Thailand,THA,2011,29.90149432
Trinidad and Tobago,TTO,1992,29.88623438
Russia,RUS,2018,29.88296475
Uruguay,URY,2020,29.88086103
Benin,BEN,2018,29.87756721
Indonesia - urban,,2009,29.87515137
United States,USA,1999,29.87104985
Mauritius,MUS,2017,29.86820272
China,CHN,2017,29.86473498
Vietnam,VNM,2002,29.84658562
Nigeria,NGA,2003,29.83761483
Jordan,JOR,1997,29.83703451
Argentina - urban,,2018,29.83020878
Uruguay,URY,2015,29.81963648
Philippines,PHL,2018,29.81129283
Uruguay,URY,2014,29.80609788
Iran,IRN,2014,29.79843938
El Salvador,SLV,2019,29.79839701
Moldova,MDA,2001,29.7705532
Georgia,GEO,2011,29.76909945
Estonia,EST,1998,29.76387527
United States,USA,1998,29.74125615
Tonga,TON,2015,29.73517853
Israel,ISR,2012,29.73393991
India,IND,2015,29.72928656
Micronesia (country),FSM,2013,29.7216237
Kazakhstan,KAZ,2005,29.72078078
India,IND,2016,29.71173536
Argentina - urban,,2017,29.70441964
Chad,TCD,2018,29.70175184
Fiji,FJI,2013,29.70127963
China,CHN,2014,29.69338778
Russia,RUS,2015,29.69136838
Uruguay,URY,2019,29.68692096
United States,USA,1995,29.68425468
Argentina - urban,,2012,29.68324251
United States,USA,1993,29.68183624
Uruguay,URY,2018,29.6790408
Israel,ISR,2006,29.67863957
Indonesia,IDN,1996,29.65622351
Portugal,PRT,2006,29.65607951
Indonesia - urban,,2010,29.6560232
Uruguay,URY,2017,29.63869747
Uruguay,URY,2016,29.63113754
Armenia,ARM,1999,29.62717127
Fiji,FJI,2002,29.62382259
Sri Lanka,LKA,2009,29.61858001
Burkina Faso,BFA,2014,29.60129839
United States,USA,1994,29.59746893
Ghana,GHA,1998,29.58911856
Turkey,TUR,2006,29.56495878
Indonesia,IDN,2007,29.55794464
Lithuania,LTU,2016,29.54615349
Mauritania,MRT,2000,29.54016114
Georgia,GEO,2010,29.53558843
Cote d'Ivoire,CIV,1986,29.53429956
Indonesia,IDN,2020,29.52945069
Cote d'Ivoire,CIV,1992,29.51725565
Jordan,JOR,2002,29.51336697
Azerbaijan,AZE,2001,29.50724853
Indonesia - urban,,1999,29.49664548
China,CHN,2019,29.49635118
Indonesia,IDN,2010,29.48734027
Indonesia,IDN,2019,29.47447063
Israel,ISR,2007,29.47116496
Israel,ISR,2011,29.46034745
Israel,ISR,2003,29.44387417
Niger,NER,1992,29.44176199
Turkey,TUR,2008,29.44124857
Yemen,YEM,2014,29.43562494
China,CHN,2018,29.4341079
Indonesia - urban,,2007,29.42090611
China,CHN,2015,29.41269842
Kyrgyzstan,KGZ,2006,29.41232228
Indonesia,IDN,2009,29.40755793
Sierra Leone,SLE,2018,29.39868199
Russia,RUS,1997,29.39174104
El Salvador,SLV,2018,29.38977835
China,CHN,1999,29.38699711
Argentina - urban,,2013,29.37188849
Bhutan,BTN,2007,29.36851312
North Macedonia,MKD,2003,29.35981506
China,CHN,2016,29.35065033
Israel,ISR,2004,29.33191628
Georgia,GEO,2012,29.30123179
Turkey,TUR,2010,29.29889544
United States,USA,2010,29.26024911
Kiribati,KIR,2006,29.25184309
Laos,LAO,2007,29.25129408
Solomon Islands,SLB,2012,29.24633431
India - urban,,1977,29.23865866
Uruguay,URY,2012,29.23665666
Thailand,THA,2013,29.22679378
Russia,RUS,2017,29.21790265
Turkey,TUR,2009,29.20931147
Armenia,ARM,2018,29.19937859
Indonesia - urban,,2008,29.19669974
India - urban,,1987,29.15840218
India,IND,2004,29.15050085
Indonesia,IDN,2008,29.14343278
El Salvador,SLV,2017,29.14263683
India - rural,,1977,29.13686627
Georgia,GEO,2008,29.13211777
Vanuatu,VUT,2010,29.12757697
Laos,LAO,1997,29.11142644
Georgia,GEO,2013,29.10572533
Armenia,ARM,2001,29.0967396
Tunisia,TUN,2005,29.07524712
Vietnam,VNM,1997,29.0526807
North Macedonia,MKD,2002,29.03625023
Ireland,IRL,1994,29.03280851
Russia,RUS,2020,29.02429484
Armenia,ARM,2002,28.99934488
Nepal,NPL,1995,28.99663391
Cote d'Ivoire,CIV,2018,28.99618537
North Macedonia,MKD,2004,28.98473024
Iran,IRN,2013,28.97487353
Sri Lanka,LKA,1995,28.97121183
Laos,LAO,2012,28.96991646
Lithuania,LTU,2008,28.94966014
Tanzania,TZA,2000,28.94181668
Portugal,PRT,2008,28.93569328
Tonga,TON,2009,28.92843776
Israel,ISR,2013,28.9272709
Madagascar,MDG,1999,28.91894684
Thailand,THA,2016,28.9169387
Georgia,GEO,2007,28.91273607
Lithuania,LTU,2014,28.91069901
Georgia,GEO,2017,28.89744844
North Macedonia,MKD,2005,28.88727866
France,FRA,1984,28.88688406
China - rural,,1999,28.86995722
Georgia,GEO,2009,28.8545216
Portugal,PRT,2007,28.85293972
Indonesia,IDN,2006,28.83781372
Cyprus,CYP,2014,28.82984192
Bulgaria,BGR,2014,28.80331581
Indonesia - urban,,2006,28.79576944
Vietnam,VNM,2004,28.77159804
Serbia,SRB,2005,28.76184312
Mauritius,MUS,2006,28.7496682
Israel,ISR,2001,28.74221197
Bulgaria,BGR,2015,28.73620053
Gambia,GMB,2015,28.7322085
China - rural,,2005,28.71254913
United Kingdom,GBR,1999,28.70197595
Israel,ISR,2002,28.69955508
Mauritania,MRT,1995,28.68938971
Thailand,THA,2014,28.67958496
Portugal,PRT,2011,28.67927461
Serbia,SRB,2012,28.66496417
Vietnam,VNM,1992,28.63911965
Yemen,YEM,2005,28.63652239
Ireland,IRL,1995,28.63001102
Serbia,SRB,2014,28.62126773
Russia,RUS,1998,28.62034618
Lithuania,LTU,2015,28.61951501
Russia,RUS,2016,28.61499079
Indonesia - urban,,1993,28.60641761
Syria,SYR,1996,28.60386618
Georgia,GEO,2014,28.56371526
Uzbekistan,UZB,2000,28.56139412
Switzerland,CHE,1982,28.56106416
Israel,ISR,2015,28.55428781
United Kingdom,GBR,1998,28.51897022
Pakistan,PAK,1998,28.47547841
Latvia,LVA,2003,28.46768578
China - urban,,2019,28.46696608
Ethiopia,ETH,2015,28.46475176
Moldova,MDA,2000,28.45006815
Thailand,THA,2017,28.42626992
Lithuania,LTU,2017,28.42622536
China - urban,,2010,28.40582966
Thailand,THA,2015,28.39726562
China - urban,,2013,28.388321
India,IND,2018,28.3787727
Armenia,ARM,2017,28.36886474
Moldova,MDA,2005,28.36711639
Egypt,EGY,1999,28.34170431
China - urban,,2017,28.33927359
China - urban,,2011,28.33427957
Uzbekistan,UZB,2003,28.33367271
Cote d'Ivoire,CIV,1988,28.33284166
Belgium,BEL,2000,28.31398604
Tonga,TON,2000,28.29110695
Liberia,LBR,2007,28.29088812
Portugal,PRT,2010,28.28320658
United Kingdom,GBR,2002,28.24761835
Israel,ISR,2014,28.2353327
Turkey,TUR,2007,28.23252981
Timor,TLS,2001,28.20888333
Nigeria,NGA,1985,28.20693252
Armenia,ARM,2003,28.19694775
Mali,MLI,2018,28.1909428
Georgia,GEO,2002,28.18488346
Israel,ISR,1997,28.16099824
Thailand,THA,2018,28.14873252
Georgia,GEO,2016,28.14816439
Russia,RUS,2002,28.14549708
Ghana,GHA,1988,28.1423619
China - urban,,2018,28.1269869
Jordan,JOR,1986,28.11237515
Moldova,MDA,1997,28.10591095
Bangladesh,BGD,1995,28.08297238
Laos,LAO,1992,28.08185343
Guinea-Bissau,GNB,2002,28.05803772
Indonesia - urban,,2005,28.05093491
Indonesia - urban,,2002,28.04664008
Cyprus,CYP,2012,28.04389909
Vietnam,VNM,2008,28.0323993
China - urban,,2012,28.01667246
Indonesia - urban,,1990,27.99960309
Bangladesh,BGD,2005,27.99544777
Lithuania,LTU,1993,27.98935642
Indonesia,IDN,2005,27.98862734
Burundi,BDI,2006,27.96994191
United Kingdom,GBR,2007,27.96857189
United Kingdom,GBR,2003,27.95418869
Lithuania,LTU,2003,27.93741157
Bhutan,BTN,2017,27.93155408
Georgia,GEO,1996,27.92853468
China - urban,,2008,27.92072808
China - urban,,2014,27.90192792
Estonia,EST,2001,27.89887381
Serbia,SRB,2004,27.89110037
Croatia,HRV,2008,27.87738465
Bangladesh,BGD,2000,27.86374163
China - urban,,2015,27.85798163
Russia,RUS,2001,27.85702393
Indonesia,IDN,1993,27.84967977
China - rural,,1993,27.84329396
United Kingdom,GBR,1994,27.84024465
China - urban,,2016,27.80210641
Georgia,GEO,2015,27.79185281
Egypt,EGY,2015,27.78239469
Palestine,PSE,2010,27.77980812
Sudan,SDN,2014,27.77737206
United Kingdom,GBR,2004,27.7707983
Portugal,PRT,2012,27.77004076
Mongolia,MNG,2007,27.75560642
Montenegro,MNE,2016,27.748745
Israel,ISR,2016,27.74808283
Russia,RUS,1999,27.73528438
Gabon,GAB,2017,27.72601422
Georgia,GEO,2005,27.72485502
Vietnam,VNM,2006,27.72311452
Latvia,LVA,2007,27.72072283
United States,USA,1992,27.7139543
Montenegro,MNE,2015,27.70231397
India - urban,,1993,27.699394
Moldova,MDA,2003,27.69535442
Moldova,MDA,2004,27.6925396
Vietnam,VNM,2012,27.69024476
Indonesia,IDN,2004,27.66682189
Indonesia,IDN,2002,27.66394989
Estonia,EST,2000,27.63384342
India - rural,,2017,27.62875815
Israel,ISR,2018,27.62486232
Russia,RUS,2000,27.62380426
Pakistan,PAK,1987,27.6219676
Lithuania,LTU,2009,27.6122867
Palestine,PSE,2007,27.61181953
Italy,ITA,1998,27.6108788
Guinea-Bissau,GNB,2018,27.60014048
Bulgaria,BGR,2013,27.57912435
Georgia,GEO,2019,27.57642399
Ireland,IRL,1996,27.57249363
China - rural,,1996,27.57246444
Ukraine,UKR,1996,27.57194484
United Kingdom,GBR,1997,27.56929046
Portugal,PRT,2016,27.55966856
India,IND,1987,27.53479058
Moldova,MDA,2002,27.53034127
Marshall Islands,MHL,2019,27.52425505
Ethiopia - rural,,1981,27.51651089
India,IND,1977,27.50758994
Portugal,PRT,2013,27.50753291
United States,USA,1991,27.49539776
Jordan,JOR,2006,27.4941885
Latvia,LVA,2002,27.49404613
Sri Lanka,LKA,1990,27.48982476
Georgia,GEO,2006,27.47204423
Portugal,PRT,2009,27.46365467
Indonesia - urban,,2004,27.4634552
Lithuania,LTU,2019,27.46221323
Vietnam,VNM,2018,27.461965
Spain,ESP,1995,27.46075074
Indonesia - rural,,2011,27.45854552
Cyprus,CYP,2015,27.45687637
Georgia,GEO,2018,27.45451386
Jordan,JOR,2010,27.45170007
Latvia,LVA,2008,27.43991243
Egypt,EGY,2004,27.43802
Australia,AUS,2008,27.41556767
Jamaica,JAM,1993,27.4139651
Portugal,PRT,2014,27.40752454
Indonesia - rural,,2015,27.40145869
Ethiopia,ETH,2010,27.39899845
Lithuania,LTU,2004,27.39114573
Bulgaria,BGR,2012,27.38168966
Moldova,MDA,2006,27.37947049
Estonia,EST,2004,27.37634582
Palestine,PSE,2009,27.37317617
Uzbekistan,UZB,2002,27.37018806
China - rural,,2017,27.3673315
Ghana,GHA,1987,27.34347523
China - urban,,2005,27.33671231
Latvia,LVA,2011,27.33593412
Portugal,PRT,2015,27.33475739
Nauru,NRU,2012,27.33156248
Indonesia,IDN,1999,27.32439489
Greece,GRC,1995,27.3214818
Serbia,SRB,2016,27.31980687
Estonia,EST,2002,27.31359197
United Kingdom,GBR,1995,27.30360754
China,CHN,1996,27.29834544
Indonesia - urban,,1998,27.27572721
India - urban,,2018,27.23738339
Ireland,IRL,1987,27.22671678
Indonesia,IDN,2003,27.22137043
Thailand,THA,2019,27.21669531
United Kingdom,GBR,1996,27.20929874
Palestine,PSE,2011,27.19269613
Cyprus,CYP,2018,27.18368039
Kyrgyzstan,KGZ,2004,27.17571477
Lithuania,LTU,2005,27.15994656
India - rural,,2018,27.15898734
France,FRA,1978,27.154868
Lithuania,LTU,2018,27.15116264
Norway,NOR,2004,27.15091211
Palestine,PSE,2006,27.14488689
Kazakhstan,KAZ,2001,27.1408447
France,FRA,2010,27.13489205
Pakistan,PAK,2005,27.13310097
India - urban,,1983,27.12272871
Tanzania,TZA,1991,27.12108119
Vietnam,VNM,2016,27.11811106
Moldova,MDA,2008,27.11545091
United Kingdom,GBR,1991,27.1076194
Lithuania,LTU,2013,27.10732492
North Macedonia,MKD,2010,27.10291153
Liberia,LBR,2016,27.09680289
Georgia,GEO,2003,27.07794757
Iceland,ISL,2008,27.07789641
India - rural,,2016,27.07190249
Indonesia - urban,,2003,27.07029623
Pakistan,PAK,1990,27.05521268
Laos,LAO,2002,27.04814909
Tunisia,TUN,2010,27.02743266
Niger,NER,2014,27.0224977
Thailand,THA,2020,27.01213169
Poland,POL,2004,27.00815514
China - rural,,2013,27.00304157
Canada,CAN,1971,26.99490866
Egypt,EGY,2008,26.99343465
Poland,POL,2003,26.99063498
India - rural,,2015,26.98770772
Indonesia,IDN,1990,26.986605
Australia,AUS,2014,26.98347051
Latvia,LVA,2004,26.97202371
Indonesia,IDN,1984,26.97024729
Pakistan,PAK,2015,26.96885815
Poland,POL,2005,26.96883437
Ireland,IRL,2005,26.95296001
Israel,ISR,2017,26.95080176
France,FRA,2011,26.93661001
Bangladesh,BGD,2010,26.9253562
Egypt,EGY,2017,26.91669952
Sierra Leone,SLE,2011,26.91370848
Bulgaria,BGR,2010,26.90783052
Israel,ISR,1979,26.90721139
Latvia,LVA,2017,26.90340488
Latvia,LVA,2018,26.89787679
Algeria,DZA,1995,26.88858566
Nigeria,NGA,2015,26.88318864
North Macedonia,MKD,2011,26.88152601
France,FRA,2012,26.87858779
Israel,ISR,1992,26.870716
Indonesia - rural,,2012,26.86583795
Estonia,EST,2006,26.85871119
Israel,ISR,1986,26.85037719
United Kingdom,GBR,2016,26.84322433
Vietnam,VNM,2014,26.84189772
Estonia,EST,2003,26.83854198
Bangladesh,BGD,2016,26.83507218
Yemen,YEM,1998,26.82937822
Lithuania,LTU,2012,26.82886099
Cyprus,CYP,2016,26.81229638
Latvia,LVA,2013,26.80876591
Latvia,LVA,2006,26.79796304
Kazakhstan,KAZ,2002,26.79487987
Moldova,MDA,2007,26.78461874
Lithuania,LTU,2006,26.78308237
Indonesia,IDN,1998,26.77932489
China - rural,,2018,26.77589554
United Kingdom,GBR,2010,26.77568409
Azerbaijan,AZE,1995,26.77216719
Lithuania,LTU,2007,26.77042834
Nigeria,NGA,2010,26.76636602
Nigeria,NGA,2018,26.74319368
Croatia,HRV,2009,26.73993095
United Kingdom,GBR,2006,26.73674687
Armenia,ARM,2015,26.73505642
Egypt,EGY,1990,26.73210285
Poland,POL,2002,26.72832164
China - rural,,2014,26.72751277
Spain,ESP,1985,26.7258907
Greece,GRC,2006,26.72561599
United States,USA,1986,26.72286564
Poland,POL,2008,26.72090295
Palestine,PSE,2005,26.71944571
Switzerland,CHE,2007,26.71588819
Georgia,GEO,2004,26.71370161
Latvia,LVA,2009,26.70500455
Cyprus,CYP,2011,26.69864649
France,FRA,2018,26.69635823
Indonesia - urban,,1984,26.68979961
Sudan,SDN,2009,26.68682404
France,FRA,2008,26.68675834
Italy,ITA,2003,26.68603466
India,IND,1993,26.66824101
United Kingdom,GBR,2017,26.66813056
Portugal,PRT,2017,26.66378816
Italy,ITA,2017,26.66186862
Nigeria,NGA,2012,26.65485492
India - rural,,2011,26.65292357
Latvia,LVA,2014,26.65258686
Latvia,LVA,1997,26.6509559
France,FRA,2015,26.63638822
Ireland,IRL,2004,26.63542209
Latvia,LVA,2019,26.63300627
India - rural,,2019,26.63060287
Luxembourg,LUX,2018,26.6272747
China,CHN,1993,26.62299082
Mongolia,MNG,2011,26.62297476
Greece,GRC,2012,26.62021349
Australia,AUS,2018,26.61339078
Estonia,EST,2013,26.60895006
Portugal,PRT,2018,26.6052858
Burundi,BDI,1992,26.58476054
Poland,POL,2009,26.58454063
Jordan,JOR,2008,26.57452827
Tajikistan,TJK,2004,26.56847447
Latvia,LVA,2012,26.56536234
Poland,POL,1995,26.56114968
Bulgaria,BGR,2006,26.55836731
United Kingdom,GBR,2009,26.5454052
North Macedonia,MKD,2012,26.51937323
Indonesia - urban,,1987,26.48694373
Kyrgyzstan,KGZ,2007,26.48625188
Poland,POL,1996,26.48111002
Palestine,PSE,2004,26.4753637
Australia,AUS,2010,26.45799459
Poland,POL,2007,26.45455304
China - rural,,2019,26.44174433
Greece,GRC,2013,26.43744364
China - rural,,2015,26.43529266
Indonesia - urban,,2001,26.43436592
Niger,NER,2011,26.43304754
Italy,ITA,2012,26.42302448
Sri Lanka,LKA,1985,26.41642231
India,IND,1983,26.41488696
Nepal,NPL,2010,26.4104754
Guinea,GIN,2012,26.40958059
India - rural,,2004,26.40931441
Japan,JPN,2013,26.40876773
Italy,ITA,2011,26.39714865
Tajikistan,TJK,2015,26.39294316
France,FRA,2013,26.39112199
China - rural,,2016,26.38983773
China - urban,,2002,26.38934693
United Kingdom,GBR,2008,26.37738357
Luxembourg,LUX,2012,26.37088516
Bulgaria,BGR,1995,26.35993604
Poland,POL,2006,26.35848479
Bosnia and Herzegovina,BIH,2004,26.35670663
Switzerland,CHE,1992,26.35564624
Italy,ITA,2000,26.35052543
Greece,GRC,2005,26.32610557
Norway,NOR,2005,26.32192367
Pakistan,PAK,2004,26.31965251
Italy,ITA,2004,26.31655943
Switzerland,CHE,2008,26.30848449
Kazakhstan,KAZ,1996,26.29015848
Spain,ESP,1980,26.2792181
Estonia,EST,2014,26.27465046
Indonesia - urban,,2000,26.26912755
Spain,ESP,2000,26.26615476
France,FRA,2007,26.2464575
Serbia,SRB,2002,26.24180341
Hungary,HUN,1994,26.2371182
Greece,GRC,2015,26.23421333
Spain,ESP,2015,26.23365915
Latvia,LVA,2010,26.22928767
Latvia,LVA,1998,26.21632427
Georgia,GEO,2020,26.21028726
Cyprus,CYP,2008,26.20807019
Poland,POL,2010,26.19079272
Mongolia,MNG,2012,26.1863202
Cyprus,CYP,2009,26.18504796
Mauritania,MRT,2008,26.18242545
Indonesia - rural,,2016,26.17737506
Italy,ITA,1993,26.17396104
Estonia,EST,2005,26.16935377
Italy,ITA,2010,26.16274312
Latvia,LVA,2015,26.16270277
Italy,ITA,1995,26.15648122
United Kingdom,GBR,2014,26.15239733
Kyrgyzstan,KGZ,2005,26.15207959
Japan,JPN,2008,26.14717847
Indonesia - rural,,2013,26.14465883
Greece,GRC,2014,26.13593349
Ireland,IRL,2000,26.13354048
Indonesia,IDN,1987,26.13278545
United Kingdom,GBR,2005,26.11041195
France,FRA,2009,26.10715661
Poland,POL,2000,26.08728398
France,FRA,2014,26.07838892
Ireland,IRL,2013,26.07541363
Egypt,EGY,2010,26.07511159
United Kingdom,GBR,1969,26.06856829
China - rural,,1990,26.04964635
Greece,GRC,2008,26.04849647
Egypt,EGY,1995,26.0440591
Spain,ESP,2010,26.04264447
Montenegro,MNE,2017,26.03782281
Switzerland,CHE,2006,26.03634051
Liberia,LBR,2014,26.03238579
Bulgaria,BGR,2011,26.03113801
Cyprus,CYP,2006,26.02703326
Greece,GRC,2009,26.02626578
Greece,GRC,2007,26.02307611
United States,USA,1974,26.02059284
Canada,CAN,2007,26.01467095
Serbia,SRB,2003,26.00385796
Spain,ESP,2014,26.0027435
Portugal,PRT,2019,25.98185433
Italy,ITA,2016,25.96119718
Montenegro,MNE,2018,25.95501756
Spain,ESP,2013,25.93064479
France,FRA,2016,25.93054872
Italy,ITA,2013,25.92801125
Ireland,IRL,2012,25.92612075
Italy,ITA,2018,25.923912
Spain,ESP,2011,25.91922239
Ireland,IRL,2016,25.91593876
Indonesia - rural,,2014,25.91027655
Switzerland,CHE,2000,25.90916755
Ireland,IRL,2003,25.9054063
Spain,ESP,2009,25.90166
Poland,POL,1998,25.88035295
Greece,GRC,2016,25.87595411
Greece,GRC,2017,25.87550868
North Macedonia,MKD,2000,25.86920675
Poland,POL,2011,25.85016463
Taiwan,TWN,2010,25.84981052
Spain,ESP,2016,25.84769848
Switzerland,CHE,2016,25.83099714
Luxembourg,LUX,2019,25.83069028
Kyrgyzstan,KGZ,2019,25.82850796
Poland,POL,1999,25.82395333
Pakistan,PAK,2011,25.82246794
India - rural,,2009,25.81326102
Australia,AUS,2016,25.80829233
France,FRA,2017,25.80017061
China,CHN,1990,25.79524155
Switzerland,CHE,2018,25.78742243
Kazakhstan,KAZ,2003,25.78704995
Spain,ESP,2012,25.78650715
Latvia,LVA,2016,25.7861959
Taiwan,TWN,2013,25.76938563
Italy,ITA,2015,25.76257214
Luxembourg,LUX,2008,25.75499805
Poland,POL,2001,25.75402845
Armenia,ARM,2014,25.74396952
Canada,CAN,2010,25.73192666
Mongolia,MNG,2010,25.7298861
Montenegro,MNE,2014,25.72214891
Kosovo,OWID_KOS,2010,25.7133469
Pakistan,PAK,2007,25.70992152
Cyprus,CYP,2010,25.69694932
Bulgaria,BGR,2009,25.68849182
Japan,JPN,2010,25.68109892
Mali,MLI,2009,25.67846634
Italy,ITA,2008,25.67603015
Bulgaria,BGR,2008,25.67335254
Mongolia,MNG,2018,25.67066813
Greece,GRC,2000,25.66771623
Switzerland,CHE,2009,25.6664047
Latvia,LVA,1996,25.655719
Greece,GRC,2010,25.64393802
Ethiopia,ETH,2004,25.63695296
Italy,ITA,2006,25.62732356
Ireland,IRL,2006,25.62715859
Poland,POL,2012,25.6268615
Greece,GRC,2011,25.62671628
Indonesia,IDN,2001,25.62524872
Poland,POL,2013,25.6205618
Mongolia,MNG,2016,25.61896932
Tajikistan,TJK,2003,25.61882652
France,FRA,1994,25.6032077
Luxembourg,LUX,2017,25.59276863
Spain,ESP,2008,25.59064133
Lithuania,LTU,1996,25.57901855
Taiwan,TWN,2005,25.57348022
Tunisia,TUN,2015,25.57188378
Canada,CAN,2004,25.57085496
Ireland,IRL,2009,25.56203612
Spain,ESP,2007,25.56156081
Serbia,SRB,2017,25.55852092
Switzerland,CHE,2017,25.54796474
Albania,ALB,2014,25.5443224
